Institution Name,Institution Code,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Year,Institute Name,Institute Code
Savitribai Phule Pune University ,(IR-O-U-0323),13.22,19.35,13.94,8.45,8.0,18.52,19.05,2.0,3.2,60.0,26.96,3.14,25.19,2.59,20.0,16.41,20211,,
Vellore Institute of Technology ,(IR-O-U-0490),17.18,15.64,12.02,3.59,0.0,23.23,27.91,5.0,0.69,53.36,16.58,17.83,21.44,0.11,20.0,38.8,20211,,
Bharathiar University ,(IR-O-U-0447),11.57,25.0,18.86,6.36,0.0,22.64,21.29,2.0,1.51,60.0,14.17,3.21,30.0,2.0,18.0,24.6,20211,,
National Institute of Technology Tiruchirapalli ,(IR-O-U-0467),15.0,16.67,12.97,7.76,0.0,19.09,19.09,3.0,3.4,60.0,11.79,17.91,18.69,6.74,20.0,51.82,20211,,
Indian Institute of Science Education & Research Pune ,(IR-O-U-0305),8.31,25.0,17.66,10.28,6.0,20.59,21.45,2.0,1.55,50.0,9.31,17.68,19.15,1.92,20.0,28.91,20211,,
Anna University ,(IR-O-U-0439),15.62,19.49,12.94,3.87,0.0,17.9,19.6,2.0,3.59,60.0,13.11,0.82,27.19,3.34,20.0,61.72,20211,,
Indian Institute of Technology (Indian School of Mines),(IR-O-U-0205),14.02,15.24,12.52,6.4,0.0,24.74,24.98,2.5,4.42,58.55,12.6,20.35,6.71,8.09,20.0,27.0,20211,,
Institute of Chemical Technology ,(IR-O-U-0308),8.72,17.87,14.53,8.92,0.0,19.28,19.39,15.0,2.15,60.0,15.96,6.24,24.89,1.94,13.0,22.04,20211,,
Indian Institute of Technology (Banaras Hindu University)Varanasi,(IR-O-U-0701),15.12,16.43,13.21,7.11,4.0,19.8,21.5,4.0,2.11,58.51,11.37,18.07,9.6,9.01,20.0,31.08,20211,,
Birla Institute of Technology & Science -Pilani ,(IR-O-U-0391),16.5,18.19,14.51,6.62,0.0,16.86,19.15,3.0,4.12,60.0,12.05,23.07,16.36,0.07,20.0,32.81,20211,,
Indian Institute of Technology Indore ,(IR-O-U-0273),6.89,24.68,16.65,9.29,0.0,23.66,22.78,2.0,0.81,59.81,9.89,17.98,11.44,7.18,20.0,15.91,20211,,
Indian Institute of Technology Ropar ,(IR-O-U-0378),8.79,25.0,17.57,10.4,11.0,14.35,16.31,1.5,0.75,57.93,4.12,23.95,15.12,4.82,20.0,23.76,20211,,
National Institute of Technology Karnataka ,(IR-O-U-0237),13.5,18.93,14.14,7.24,0.0,19.9,18.26,1.0,2.58,60.0,13.32,18.11,17.89,9.58,20.0,30.01,20211,,
Indian Institute of Technology Gandhinagar ,(IR-O-U-0139),7.76,23.9,18.32,10.28,11.0,16.42,18.0,1.0,1.73,51.59,5.62,22.18,18.74,3.29,20.0,23.76,20211,,
Mysore University ,(IR-O-U-0235),16.0,22.93,16.7,5.14,8.0,7.09,8.9,2.0,0.8,60.0,30.54,1.69,30.0,2.56,20.0,6.85,20211,,
Indian Institute of Science Education & Research Kolkata ,(IR-O-U-0572),8.44,25.0,16.8,9.42,0.0,17.8,19.74,0.5,0.79,60.0,6.26,15.56,16.23,1.74,20.0,23.34,20211,,
Homi Bhabha National Institute ,(IR-O-U-0304),8.73,25.0,18.08,16.83,0.0,15.66,17.27,0.0,3.51,41.78,24.2,13.13,22.66,0.0,15.0,6.22,20211,,
Siksha 'O' Anusandhan,(IR-O-U-0363),16.22,25.0,15.33,7.35,0.0,11.03,13.58,4.0,1.31,60.0,11.34,15.07,30.0,0.83,20.0,13.28,20211,,
Panjab University ,(IR-O-U-0078),15.99,13.27,10.17,4.45,5.0,15.22,22.39,2.0,1.25,44.67,26.9,12.67,25.36,0.47,15.0,37.31,20211,,
