Institute Name,Institute Code,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Rank,Year,Institution Name,Institution Code,OE,Predicted_Rank
Delhi Technological University,IR-2-O-OE-U-0098,12.08,21.5,8.37,5.82,9.68,13.41,0.5,0.54,60.0,2.86,6.8,2.61,1.42,20.0,15.04,100.0,2018,,,0.0,99.988434
Indian Institute of Technology Madras,IR-O-U-0456,17.0,29.44,18.32,19.81,29.8,30.08,13.0,10.66,60.0,27.13,23.56,14.08,8.44,20.0,94.14,1.0,2019,,,0.0,0.9958799
Indian Institute of Science,IR-O-U-0220,10.35,30.0,18.29,24.52,35.0,35.0,12.0,7.24,48.31,30.25,21.99,10.06,4.42,12.0,100.0,2.0,2019,,,0.0,1.9896837
Indian Institute of Technology Delhi,IR-O-I-1074,14.83,27.95,17.54,17.98,31.14,31.43,11.0,9.41,53.97,25.16,23.65,14.6,2.33,18.0,86.14,3.0,2019,,,0.0,3.0030081
Indian Institute of Technology Bombay,IR-O-U-0306,17.0,26.63,18.09,15.23,30.43,30.87,15.0,8.07,56.05,26.27,21.66,12.78,2.25,14.0,86.92,4.0,2019,,,0.0,3.9944668
Indian Institute of Technology Kharagpur,IR-O-U-0573,16.52,23.47,15.35,12.01,29.35,31.73,9.0,6.57,57.48,28.69,22.98,10.93,6.72,20.0,78.11,5.0,2019,,,0.0,4.9959087
Indian Institute of Technology Kanpur,IR-O-I-1075,14.93,24.6,16.58,15.85,27.1,27.13,9.0,6.38,48.28,21.68,19.46,8.36,7.57,15.0,75.68,6.0,2019,,,0.0,5.9693713
Jawaharlal Nehru University,IR-O-U-0109,13.88,30.0,17.25,15.62,19.11,18.68,3.0,1.06,60.0,39.87,25.87,30.0,0.0,20.0,35.27,7.0,2019,,,0.0,6.997248
Indian Institute of Technology Roorkee,IR-O-U-0560,15.32,24.37,15.81,11.82,28.5,29.54,2.0,5.04,60.0,27.14,25.82,12.72,3.1,20.0,43.66,8.0,2019,,,0.0,7.983562
Indian Institute of Technology Guwahati,IR-O-U-0053,14.07,30.0,18.23,14.5,26.56,26.59,0.5,2.93,53.32,20.55,24.65,11.01,4.97,20.0,46.34,9.0,2019,,,0.0,9.001957
Banaras Hindu University,IR-O-U-0500,19.01,24.44,16.26,10.01,18.21,23.26,1.5,3.51,60.0,36.37,8.88,24.58,3.56,20.0,47.28,10.0,2019,,,0.0,10.03334
University of Hyderabad,IR-O-U-0042,13.0,30.0,19.52,12.29,20.38,19.94,150.0,195.0,57.98,25.67,19.73,28.04,0.0,11.0,36.71,11.0,2019,,,0.0,11.000265
